,configuration,release,recall,precision,fpr,fscore,gscore,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
0,1_AsIs,ant-ivy-2.0.0,0.38,0.37254901960784315,0.10596026490066225,0.37623762376237624,0.5333194718785736,0.5552373791909788,0.8210227272727273,0.17897727272727273,0.64,0.10264900662251655,0.27179012716186063,0.2773509933774834,0.610794701986755,0.020251294743035414,0.5747689620349897,0.9715909090909091,2.2926136363636362,11909.0,14.0,299.0,0.04583333333333333,0.04583333333333333,0.14204545454545456,3.099173553719009,3.099173553719009,18.16,9.450331125827814,240,240,352,91.49444444444441,small
1,1_AsIs,ant-ivy-2.1.0,0.5714285714285714,0.45901639344262296,0.10714285714285714,0.5090909090909091,0.6968641114982578,0.687627577061859,0.8487394957983193,0.15126050420168066,0.673469387755102,0.06818181818181818,0.4244709235144046,0.5032467532467533,0.8568115557911476,0.037786339389333526,0.5542227679604219,0.680672268907563,1.5630252100840336,22606.0,17.0,87.0,0.14204545454545456,0.14204545454545456,0.13725490196078433,0.9662745098039216,0.9662745098039216,22.632653061224488,8.636363636363637,352,352,357,-213.11714285714288,none
2,1_AsIs,ant-ivy-2.2.0,0.5945945945945946,0.3492063492063492,0.12576687116564417,0.44,0.7077947733814981,0.6998576599222323,0.8457300275482094,0.15426997245179064,1.1081081081081081,0.046012269938650305,0.37453468668989826,0.5485823246559443,0.8504393964516664,0.0110309265218393,0.5306236074928317,0.5261707988980716,1.1460055096418733,23378.0,7.0,89.0,0.13725490196078433,0.13725490196078433,0.10192837465564739,0.7426210153482881,0.7426210153482881,30.45945945945946,8.217791411042946,357,357,363,-346.92105263157896,none
3,1_AsIs,ant-ivy-2.3.0,0.6923076923076923,0.11688311688311688,0.1552511415525114,0.19999999999999998,0.7609689213893968,0.756301956135902,0.8403547671840355,0.15964523281596452,5.230769230769231,0.0091324200913242,0.2388072931587915,0.6831752722163681,0.8357920618194591,0.0,0.5175018155410304,0.2394678492239468,0.37250554323725055,27358.0,1.0,112.0,0.10192837465564739,0.10192837465564739,0.028824833702882482,0.28279499011206327,0.28279499011206327,87.23076923076923,8.833333333333334,363,363,451,1300.9642857142858,large
4,1_AsIs,ant-ivy-2.4.0,0.5882352941176471,0.22727272727272727,0.07439824945295405,0.32786885245901637,0.7193265878751808,0.7041239511788386,0.9135021097046413,0.08649789029535865,2.0,0.015317286652078774,0.329266392781757,0.5729180074655683,0.7972068477281503,0.0027039208195044928,0.5947513483502538,0.21940928270042195,0.4409282700421941,21625.0,4.0,98.0,0.028824833702882482,0.028824833702882482,0.035864978902953586,1.2442388834793898,1.2442388834793898,68.0,9.520787746170678,451,451,474,1952.7857142857147,large
5,1_AsIs,archiva-1.1,0.28125,0.1836734693877551,0.09195402298850575,0.22222222222222224,0.42947749924494105,0.4876245981490863,0.8650963597430407,0.1349036402569593,1.25,0.052873563218390804,0.15605396980315328,0.22837643678160918,0.5883979885057471,0.009230221140341154,0.5312864238785587,0.5781584582441114,1.316916488222698,5753.0,15.0,461.0,0.01627906976744186,0.01627906976744186,0.06852248394004283,4.20923829917406,4.20923829917406,25.0625,5.577011494252874,430,430,467,-1799.1923076923076,none
6,1_AsIs,archiva-1.2,0.6,0.15789473684210525,0.14918414918414918,0.25,0.7037275064267352,0.6981259282682608,0.8396436525612472,0.1603563474387528,3.2,0.018648018648018648,0.24801709105859,0.5813519813519814,0.8396853146853147,0.0017963636983383908,0.638943204294997,0.3207126948775056,0.5879732739420935,17695.0,8.0,113.0,0.06852248394004283,0.06852248394004283,0.044543429844097995,0.6500556792873051,0.6500556792873051,38.5,7.438228438228438,467,467,449,1421.9196428571427,large
7,1_AsIs,archiva-1.3,0.5625,0.16666666666666666,0.10416666666666667,0.2571428571428572,0.6910714285714284,0.6819929682817969,0.8839285714285714,0.11607142857142858,2.8125,0.016203703703703703,0.26123918328900203,0.5462962962962963,0.8255208333333334,0.005462254346182917,0.6589376347076419,0.25669642857142855,0.49107142857142855,14892.0,8.0,183.0,0.044543429844097995,0.044543429844097995,0.03571428571428571,0.8017857142857142,0.8017857142857142,52.5,7.423611111111111,449,449,448,3871.8,large
8,1_AsIs,archiva-2.0.0,0.6666666666666666,0.08333333333333333,0.14666666666666667,0.14814814814814814,0.7485380116959063,0.7424905611222938,0.8496732026143791,0.1503267973856209,7.333333333333333,0.006666666666666667,0.19824814143238606,0.66,0.8707407407407407,0.0,0.5895928378121599,0.20915032679738563,0.30718954248366015,25956.0,2.0,135.0,0.03571428571428571,0.03571428571428571,0.0196078431372549,0.5490196078431373,0.5490196078431373,125.55555555555556,12.875555555555556,448,448,459,-658.25,none
9,2_Kawata15,ant-ivy-2.0.0,0.04,0.6666666666666666,0.0033112582781456954,0.07547169811320754,0.07691324900983774,0.3211734520397038,0.8607954545454546,0.13920454545454544,0.02,0.15894039735099338,0.13933106292018058,-0.11894039735099338,0.793046357615894,0.03410439528487768,0.6145185913007082,1.3664772727272727,3.4119318181818183,840.0,22.0,128.0,0.04583333333333333,0.04583333333333333,0.14204545454545456,3.099173553719009,3.099173553719009,18.16,9.450331125827814,240,240,352,-189.10909090909092,none
10,1_AsIs,archiva-2.1.0,0.6666666666666666,0.10256410256410256,0.07743362831858407,0.17777777777777778,0.774013921113689,0.7580216146990689,0.9192139737991266,0.08078602620087336,5.833333333333333,0.004424778761061947,0.24004497407184286,0.6622418879056047,0.9196165191740413,0.0,0.7095927137956868,0.12008733624454149,0.185589519650655,21063.0,4.0,51.0,0.0196078431372549,0.0196078431372549,0.013100436681222707,0.6681222707423581,0.6681222707423581,194.5,13.688053097345133,459,459,458,5675.066666666666,large
11,1_AsIs,calcite-1.1.0,0.2831858407079646,0.256,0.09393939393939393,0.2689075630252101,0.43150607707398475,0.48880182478061995,0.8422484134179511,0.15775158658204896,0.8230088495575221,0.08181818181818182,0.18103398825687814,0.20136765888978278,0.659680879592384,0.007158133080104344,0.40316317424514847,0.8186763372620127,1.9202175883952857,71160.0,12.0,787.0,0.1655813953488372,0.1655813953488372,0.10244786944696282,0.618716065480253,0.618716065480253,59.85840707964602,11.66969696969697,1075,1075,1103,-654.0041279669761,none
12,2_Kawata15,ant-ivy-2.1.0,0.7755102040816326,0.7916666666666666,0.032467532467532464,0.7835051546391752,0.860944271268912,0.8396101481763879,0.9411764705882353,0.058823529411764705,0.20408163265306123,0.03571428571428571,0.74952702271893,0.7397959183673469,0.9721375563212298,0.09094786373933333,0.7200128129838228,0.33613445378151263,0.7983193277310925,15172.0,20.0,46.0,0.14204545454545456,0.14204545454545456,0.13725490196078433,0.9662745098039216,0.9662745098039216,22.632653061224488,8.636363636363637,352,352,357,2854.4596273291927,large
13,1_AsIs,calcite-1.10.0,0.42857142857142855,0.2571428571428571,0.08482871125611746,0.3214285714285714,0.5837669094693028,0.5915110022912051,0.8839694656488549,0.11603053435114503,1.2380952380952381,0.03915171288743882,0.2725595698682257,0.38941971568398975,0.7931814650819545,0.005266240478238112,0.5043247340071605,0.44580152671755724,0.9954198473282443,123152.0,33.0,333.0,0.10244786944696282,0.10244786944696282,0.06412213740458016,0.6259001553739107,0.6259001553739107,43.476190476190474,40.19331158238173,1103,1103,1310,-951.3237742830713,none
