c,l1,adj_pR2,adj_weighted_pR2,num_coef,time
1e-05,0.0,-106.38452630457546,-118.50947905179846,120.0,1.281153917312622
0.0001,0.0,-90.38310901727569,-109.11080298779228,120.0,1.4080684185028076
0.001,0.0,-57.48657204804423,-84.89254359957702,120.0,1.3483421802520752
0.01,0.0,-33.39821340312127,-50.8903794639989,120.0,1.3981883525848389
0.1,0.0,-21.47138876823417,-31.175621488027147,120.0,1.5938353538513184
1.0,0.0,-17.070185638500543,-21.72720360314676,120.0,7.206161975860596
10.0,0.0,-15.73045411816699,-17.695472584463044,120.0,28.31553840637207
100.0,0.0,-15.203274494832868,-16.471613996228857,120.0,66.35623216629028
1000.0,0.0,-15.16670080994638,-16.36026335003756,120.0,204.457040309906
1e-05,0.2,-inf,-inf,0.0,0.2742362022399902
0.0001,0.2,-3.4339210108269445,-3.942283417198393,5.0,1.6007342338562012
0.001,0.2,-24.08217834639805,-34.78821616243812,47.0,1.67895770072937
0.01,0.2,-22.967778837914185,-35.466281941898224,83.33333333333333,1.7140283584594729
0.1,0.2,-18.8746650671666,-27.48972007358977,107.66666666666669,2.318382978439331
1.0,0.2,-15.971187055750947,-20.160399373639443,113.66666666666669,11.196510791778564
10.0,0.2,-15.301453288178934,-17.10364118073237,117.33333333333331,43.66136956214905
100.0,0.2,-15.101066824278526,-16.34111662715398,119.33333333333331,102.3070216178894
1000.0,0.2,-15.162801282563196,-16.35632287484752,120.0,328.72523188591003
1e-05,0.4,-inf,-inf,0.0,0.2856147289276123
0.0001,0.4,-inf,-inf,0.0,0.6248495578765869
0.001,0.4,-12.285858372435229,-17.225664543674906,23.33333333333333,1.543550968170166
0.01,0.4,-15.618699470758088,-24.83557111530173,58.0,1.6222124099731443
0.1,0.4,-16.485219838170703,-24.133852361491797,96.33333333333331,2.535602807998657
1.0,0.4,-14.875401236832836,-18.52791853017857,107.33333333333331,11.467345476150513
10.0,0.4,-14.657516842486814,-16.256715848733354,113.33333333333331,46.95147180557251
100.0,0.4,-14.927388727407218,-16.141919267630772,118.0,125.84554409980774
1000.0,0.4,-15.157328953815965,-16.35175546199419,120.0,370.77939677238464
1e-05,0.6,-inf,-inf,0.0,0.2603673934936523
0.0001,0.6,-inf,-inf,0.0,0.2899298667907715
0.001,0.6,-5.574932501375394,-7.771418630064217,11.0,1.5648589134216309
0.01,0.6,-9.076382005879926,-14.918693792866344,35.666666666666664,1.5775477886199951
0.1,0.6,-13.352160940658498,-19.711021841927693,80.66666666666667,2.857984066009521
1.0,0.6,-13.016358658735944,-16.009705705187304,96.0,14.177627563476562
10.0,0.6,-14.089697325681874,-15.537331865809406,110.0,55.300347089767456
100.0,0.6,-14.55128619588283,-15.728966577068812,115.33333333333331,166.7935025691986
1000.0,0.6,-15.108626288963436,-16.29816317367364,119.66666666666669,435.73975896835327
1e-05,0.8,-inf,-inf,0.0,0.2773337364196777
0.0001,0.8,-inf,-inf,0.0,0.2486584186553955
0.001,0.8,-3.2708602665104096,-4.634745788377143,7.0,1.5284647941589355
0.01,0.8,-6.29074293033779,-10.769418179818656,26.666666666666668,1.510444402694702
0.1,0.8,-10.360529113436,-15.387421249589195,65.66666666666667,3.99945592880249
1.0,0.8,-10.906968319895634,-13.116365704404208,82.66666666666667,17.230027437210083
10.0,0.8,-12.68570049727426,-13.87569835673729,100.66666666666669,60.06550693511963
100.0,0.8,-14.585461905396256,-15.770182502036468,115.66666666666669,190.53741216659543
1000.0,0.8,-15.097542086405108,-16.29022267332828,119.66666666666669,445.8837418556213
1e-05,1.0,-inf,-inf,0.0,0.2528460025787353
0.0001,1.0,-inf,-inf,0.0,0.251467227935791
0.001,1.0,-0.1618730703864623,-0.5782913772266373,2.0,1.189148187637329
0.01,1.0,-1.4697975356835793,-3.2703737070638383,10.333333333333334,1.6547601222991943
0.1,1.0,-3.501415237402956,-5.520748548606108,28.0,44.08814573287964
1.0,1.0,-6.262746647498932,-6.985243555585921,52.333333333333336,130.89584112167358
10.0,1.0,-11.15268923609482,-12.06913195945218,90.0,217.16688871383667
100.0,1.0,-14.178009192956834,-15.283424117852553,112.66666666666669,436.4686424732208
1000.0,1.0,-15.097812449953809,-16.29290571865207,119.66666666666669,461.98283648490906
